t,f_mean,d_mean,ttc_mean,ttce_mean,dce_mean
0.125,5.333209894158034,6.37416023830271,,2.607179751942557,5.228277228522938
0.167,5.456394208878549,6.34243958215568,,2.1560374260926016,4.939114242701343
0.208,4.99376362004731,6.346663545013999,,1.0220928995098824,4.752849359111815
0.25,3.9614877060944167,7.404087170679867,,1.0802776967134238,6.441551803150213
0.292,2.761901905633895,7.334757150142492,,0.9630076286506133,6.61045030676137
0.333,2.8947059951642338,7.282095081838298,,1.0118512369631718,6.469569203779352
0.375,2.8976289630357157,7.317030758271269,,1.095283875745462,6.21645295539178
0.417,3.208615521163296,7.335615232704112,,1.1173153340796456,5.967938536410197
0.458,3.0743241844998677,7.355194956702658,,1.1952048897361358,5.8602737094449875
0.5,3.0244445538725016,7.3752696067218375,,1.3776783434809536,5.7687378234157825
0.542,3.095764344800279,7.377166565677314,,1.1743524419467337,5.94366392558681
0.583,2.7351692753148513,7.369173921324351,,1.2902471081948843,5.720608463336891
0.625,2.9051576415012574,7.39364696555917,3.212886321647128,1.7565491094932464,5.0448820609712435
0.667,2.7235371798678174,7.020793457968618,,1.660178577985107,4.695846044382386
0.708,3.020927216435342,7.012788426837793,1470.920872386498,541.764954042843,2.3834180889545715
0.75,2.68670124191311,6.995731443066179,,13.164197829732066,2.7989572803783123
0.792,4.008781507739577,6.982579538741146,,11.711302182618786,3.0634102921100212
0.833,3.46544669788169,6.940462205371366,,14.088491871590561,4.584313128520574
0.875,3.4853886465582304,7.004422889927755,,11.878437935592816,5.535267995286231
0.917,3.638257524514228,7.103995958410006,,15.54565671188955,5.613496042148042
0.958,3.6441498289650944,7.1617294434380625,,12.559051162623007,5.751815488874252
1.0,3.617248388546956,7.25861191876397,,10.511145295491009,6.028518574082972
1.042,3.5364343772488076,7.382428849470843,,9.48884142575572,6.291859073681992
1.083,2.699116086084056,7.494681917389656,,9.13970368529617,6.382747162028248
1.125,4.25043606726318,7.557280730449935,,9.264625014165395,6.317894007420152
1.167,4.221848128047023,7.627291653143621,,9.542898089807759,6.351058095477571
1.208,4.167944850903806,7.713397215708143,,10.066789924339606,6.450807828357891
1.25,4.157302601355896,7.773182754488275,,10.712706768759697,6.410026747053017
1.292,4.13805628994154,7.891239237631143,,13.060323578938377,6.307193335508561
1.333,4.117647865474632,7.994041549845916,,19.786586757899155,6.117075969681397
1.375,4.961517078490973,7.116406466964758,,32.09272292386178,4.955142284811848
1.417,4.927473554089586,7.251346655683907,,27.861951779401092,6.805985272507598
1.458,3.0133830040622804,7.3219796753864985,,,7.3219796753864985
1.5,5.030449491877513,7.347220038711947,,,7.347220038711947
1.542,5.001012488512941,7.406674089087938,,,7.406674089087938
1.583,4.992336995609332,7.48086779168999,,,7.48086779168999
1.625,4.989653300644266,7.504125976593127,,,7.504125976593127
1.667,4.984132972091388,7.532650561665154,,,7.532650561665154
1.708,4.950510763529895,7.59421316244681,,,7.59421316244681
1.75,4.554564817612202,7.683584201336467,,,7.683584201336467
1.792,2.518248090707232,7.707129863868484,,1.6698948947494792,7.679978915194852
1.833,2.4508923838191334,7.754777492180946,,2.421565884921741,7.721769313589503
1.875,2.9435363509978907,6.38345747925234,,12.270115247040788,6.3174715089131785
1.917,3.36025367853332,6.38345747925234,,72.43574494327089,4.682539570858818
1.958,3.7236021844078144,6.38345747925234,113.58218597316295,125.01375441042856,3.0188370801114126
2.0,6.146403368325177,6.38345747925234,,99.05081654393979,3.60074991352268
2.042,3.6089299349996686,6.391760087995329,,85.78195457248125,4.042064910919521
2.083,3.6089299349996686,6.391760087995329,,80.23892236895993,4.327899019294624
2.125,3.6549742220383474,6.401023854259151,,115.86149109855914,3.7096716533689835
2.167,2.9912423850195995,6.401023854259151,,55.21021926503835,4.5776149757988565
2.208,2.9934524055079232,6.414181570718884,,11.008041347492062,6.053325585060725
2.25,3.9564248948826646,6.405984759742861,26.305893700296537,15.843988572605465,5.364631171360162
2.292,3.8355555865379976,6.41193470019089,19.38850941683822,23.342682907304457,5.361687456934905
2.333,2.2764598811441554,6.434796023003606,,24.648922351677083,5.564310043210607
2.375,2.2977500619977884,6.434796023003606,,19.975754264197892,5.704580812717307
2.417,1.4281799818514511,6.4410097456046955,,13.489356502099401,6.259005768543484
2.458,1.4304836285441864,6.432815572798426,,12.94817052016192,6.189242175073616
2.5,2.3114460855476153,6.426599714182104,,14.341228063676791,5.937054562546044
2.542,1.4371597892813373,6.431687487487295,,20.200832040687487,5.741209082628373
2.583,1.613142286885579,6.441438997710546,,13.190010456330658,6.002454190023286
2.625,1.6180005065647407,6.441438997710546,,8.862417634567171,5.978487761915979
2.667,1.629586933986661,6.433279951721549,,7.940712801330608,5.891161020599417
2.708,1.6389509523603356,6.427073837931293,,7.81774253184269,5.719053185185675
2.75,1.5269015389785954,6.407525100719238,,8.032324330027025,5.505025823447802
2.792,2.387041535758215,6.383595700273207,5.912555243895823,8.025775103870194,5.157098161873667
2.833,4.161852624114146,6.423417485975065,6.23744820335362,7.559866668064904,5.414111592504786
2.875,2.259522663415071,6.427138382685583,,7.256845742773997,5.514651409436385
2.917,2.268865986491883,6.407680502621171,,7.0466856149242005,5.522276185624403
2.958,2.2242349522203724,6.441576118805583,,7.256710092451746,5.572433608575644
3.0,2.205215891972171,6.441576118805583,,7.83498701770676,5.606165081452737
3.042,3.929114243267002,6.459988361318083,7.893016082438062,9.770137791602929,5.449129959024757
3.083,3.896283891682033,6.4546558351477055,12.680443714198331,13.453814744904662,5.522547895262792
3.125,1.9881651992318545,6.465713551932779,,7.785470807322964,6.313758082623082
3.167,1.994326353759518,6.487120604782688,,,6.487120604782688
3.208,1.985556364582834,6.487538257839373,,,6.487538257839373
3.25,2.831810334543709,6.509015968186676,,,6.509015968186676
3.292,5.385124977829662,6.516965862049974,,,6.516965862049974
3.333,5.28955626120537,6.552011859676294,,,6.552011859676294
3.375,5.271410700184265,6.5669986121130295,,,6.5669986121130295
3.417,5.279937063688079,6.585553485180995,,,6.585553485180995
3.458,5.279937063688079,6.585553485180995,,,6.585553485180995
3.5,5.429058744183558,6.60050193404503,,,6.60050193404503
3.542,5.404363657854912,6.6069729555647045,,,6.6069729555647045
3.583,5.424717601200853,6.658509323463136,,,6.658509323463136
3.625,2.4683992972046287,6.667417224929537,,,6.667417224929537
3.667,2.463340433177792,6.681046149055461,,,6.681046149055461
3.708,6.222681532567147,6.674361901427289,,,6.674361901427289
3.75,2.462254771733858,6.682214928210727,,,6.682214928210727
3.792,2.46027066224925,6.678698102451893,,,6.678698102451893
3.833,2.46027066224925,6.678698102451893,,,6.678698102451893
3.875,2.4586149077104373,6.70546235384444,,,6.70546235384444
3.917,2.4562757574841516,6.705240389040778,,20.78062067924514,6.342648342055938
3.958,1.6169260783799906,6.71189727636975,,18.07862807626499,5.994214407068237
4.0,1.0085193379016884,6.70403333899461,,15.722162428537272,5.8638401997654155
4.042,1.008554417963573,6.70403333899461,,14.94308130752543,5.821936657867734
4.083,0.803354989702317,6.70403333899461,,15.225982586816587,5.815623758025267
4.125,0.8053455522724561,6.6973726484573,,34.00675170334686,5.0573296663587595
4.167,1.2431399437300372,6.70315267721498,19.83526417266618,24.111060176139375,4.35249018870661
4.208,0.8057718207641775,6.696177355821206,,23.710357584516373,4.5388683147867255
4.25,0.8077833903495503,6.6997052803382156,,24.54312011487907,5.194203381836271
4.292,0.8092920702809113,6.695304602257164,,18.293381418045072,5.5965955458207235
4.333,0.7062414563064515,6.695304602257164,10.01152210171387,22.09071378685907,5.382617781050694
4.375,1.9910738409524835,6.687452403553152,9.481980710619265,26.14892280519592,5.270419656564573
4.417,2.0000236048882347,6.690990532416879,8.307646938441579,5.809503275476221,5.473909932567447
4.458,1.9823510480028377,6.6765498085430375,6.6043704382963755,4.402771634820826,5.444088749795145
4.5,2.9417031987184017,6.668716337989911,5.348650925631018,3.830149786047009,5.4083877019086914
4.542,3.1030823871325226,6.701496996740658,4.820074391524849,6.308861949724318,5.539415101643331
4.583,2.2900964042810448,6.689902011490773,5.266033227922261,6.43108109886246,5.624335182281951
4.625,1.4348389435097093,6.710308795930723,,7.465920025136353,5.789206416660712
4.667,1.4774921979857814,6.6958261578792255,,4.602465095879556,5.996089681464583
4.708,1.427537837827751,6.686664889507422,,7.045669846996028,5.99948916841648
4.75,1.4121335955165362,6.686664889507422,,12.277947361880383,5.811904165965455
4.792,2.0793659607096173,6.686664889507422,,22.38365613446495,5.534242907229182
4.833,2.079967892190235,6.692604350077766,,28.956021234586217,5.84536018060109
4.875,2.0843534624358906,6.682538102688185,,18.84892886659694,6.248280914056747
4.917,2.0895309449891406,6.678222695543732,,50.42391520052491,5.756966768989802
4.958,1.9829922375205076,6.670451381570192,,22.66563501396415,5.59093664555008
5.0,2.0120447766355842,6.662688882054877,,9.715176541151639,5.740020806613711
5.042,1.9595974044360023,6.661560926252761,,9.861650855948543,5.867964296855697
5.083,2.00493046536102,6.638376769771742,,6.415408415800743,5.981334637024317
5.125,3.160874619080803,6.593623688250567,,124.0089366861992,2.9168943041998063
5.167,2.836763579865478,6.543525983297362,,25.739067301473497,4.600342413890835
5.208,2.9512783227344794,6.53068716540542,,11.156925944633098,5.246557107828457
5.25,3.0510948875018395,6.514837816947151,,7.0214652765073895,5.604765714312791
5.292,3.02287974405915,6.558198959414979,,4.396028092940498,6.091753960739292
5.333,3.085935612891863,6.5482486819571575,,0.6192865589995994,6.372655725640807
5.375,3.234924700010831,6.557731549864392,,0.4244502017332758,6.464235533053628
5.417,3.2857810290584113,6.502575615797208,,0.30199526865312254,6.451779250865567
5.458,3.3165041882980133,6.5009714557558445,,7.825325099607805,6.258340094832729
5.5,4.327261616371499,6.551942120693069,,14.902369250651914,5.5766200050153145
5.542,3.2507768253392872,6.6384440223174535,,19.017624074844427,4.893892640174696
5.583,3.395562694699746,6.654950107041425,70.02135788584407,58.9101138069893,2.8974748845557534
5.625,2.960486563084959,6.639425166459432,,30.922987339344758,2.9241733353106807
5.667,3.0496708603721197,6.637546597972688,47.80120025655418,29.78619472559506,2.4184659623113007
5.708,1.1375185868540212,6.654018909525164,57.013123134770495,32.14871529862454,2.558116341716684
5.75,1.0219306584685683,6.707092069917109,,36.54923754824025,3.18413248054339
5.792,1.012186858982247,6.755050264510525,,42.66821763853128,3.8601585216392116
5.833,1.5973876022285343,6.745734688588134,,49.838180348771594,4.530860849321441
5.875,1.5845447777905992,6.773302550959837,,54.72666182159829,5.369992713035142
5.917,1.5597890573232984,6.824423834865972,,45.719601943001514,6.302688743539613
5.958,1.5246750160849702,6.8964289502485885,,3.6672842457193693,6.864691851095052
6.0,0.980737407098009,6.975592124889567,,0.06817551157704879,6.9750298647773645
6.042,1.086706560263085,7.007250149146902,,,7.007250149146902
6.083,1.0876606628146162,7.004739319931325,,,7.004739319931325
6.125,1.2418585406071596,6.990186909337592,,,6.990186909337592
6.167,1.2314504620409386,7.0249247443944896,,,7.0249247443944896
6.208,1.198136526317598,7.138409466489544,,,7.138409466489544
6.25,1.1710940273768975,7.235962046288297,,,7.235962046288297
6.292,1.1495016559053362,7.316965259474252,,,7.316965259474252
6.333,1.0330430312111838,7.327534562932658,,,7.327534562932658
6.375,0.9945768589923661,7.332506912422057,,22.188883068768487,7.230535695323034
6.417,0.9908129779125886,7.346812470387548,,21.74439686180589,7.156572737610412
6.458,1.0185074764917372,7.408903481585568,,,7.408903481585568
6.5,1.0078557838737132,7.452458513534869,,,7.452458513534869
6.542,1.1185804675778217,7.456888255951959,,,7.456888255951959
6.583,1.1104895601464932,7.492195961187121,,,7.492195961187121
6.625,1.1073775094364804,7.5058440803160735,,,7.5058440803160735
6.667,1.1099624244854918,7.49404613787715,,,7.49404613787715
6.708,0.8340914403054543,7.464254888835181,,2.8005316339800905,6.821466866523967
6.75,0.8472337101230325,7.446226731124156,,1.9344231972507948,6.886610184397502
6.792,0.8582491144275082,7.422011807529755,,1.4883729892938344,6.876113455757377
6.833,0.865718967201271,7.408467909390132,,1.2743721476652317,6.859185866358184
6.875,0.8533607360775125,7.474511043634095,,1.185190215250905,6.930251492402008
6.917,0.6783680959673861,8.594873596399358,,1.556112194785602,5.943587022038296
6.958,0.5399997324098157,8.552276817998045,,22.630809313015234,3.9292238968574407
7.0,0.5455659495706292,8.528372793278999,,7.705184401470098,3.6436860456443547
7.042,0.6626692812172132,7.722645090709217,,1.592541988597822,4.283706624692488
7.083,0.6484972465414701,7.693231311398115,,1.7058914699836099,4.757304416559638
7.125,0.6649771396700493,7.626847554970783,,1.7838549505291934,4.251358609098356
7.167,1.1746727497400338,7.55628187894688,2.4572253773700066,1.9047501552926582,3.6520274655962996
7.208,1.1806291494333412,7.455832114984837,2.768621312241387,2.09475934898867,3.417939469053414
7.25,1.1757492292727867,7.449166865365579,3.3158662637109475,2.3651615525136376,3.2693494377367784
7.292,1.188336175087889,7.3764681373797245,4.134737689438343,2.7573133608279066,3.152976228521562
7.333,1.189696313194229,7.336858310106663,5.139669621596256,3.271343186176434,3.0757897046384493
7.375,0.8903374828373196,8.434377463275514,6.211178521193424,3.904231027053978,5.189380570301055
7.417,0.9025199660901884,8.28557496877568,7.333851619807148,4.587631926703832,4.956094299775183
7.458,0.9313201094520861,8.153308062964864,9.430053636621944,5.57524096660896,5.0079539448614785
7.5,2.4605403752027755,8.042395531957178,,6.771942180156517,5.239055487457052
7.542,2.5344740054884785,7.935177080112035,,4.972201847659871,5.498716520780246
7.583,2.6094762925064647,7.858872845314619,,4.434274813762335,5.623423327690727
7.625,2.598816591666684,7.860630334138756,,3.538694151052724,5.654307405716986
7.667,2.575234661385221,7.847524699490487,,4.555860358725576,5.528817434859266
7.708,2.5521948421962217,7.855092026977667,,4.321357994200478,5.396833925917757
7.75,2.7254237851056367,7.79420628708555,,4.837362216834355,5.294979189669464
7.792,3.034319124962135,7.713528085571942,11.480022219092902,6.432664453760319,5.047998304960139
7.833,3.115903962278654,7.618847588633669,,7.172820862007522,5.285324520820053
7.875,3.161614572183825,7.539095608132701,,5.455620168412862,5.570152815427802
7.917,3.156343947230193,7.490982513342114,,3.5655114220899744,5.632930465246604
7.958,3.112539281239652,7.49768441771092,,2.593180173564129,5.648369258794881
8.0,3.2438699618636093,7.426065387824133,,2.142871720298236,5.6083459257350174
