t,2--1,3--1,4--1,5--1,6--1,7--1
0.125,0.2939681895495641,0.0,4.92039131433555,,,
0.167,0.0,0.0,2.1560374260926016,,,
0.208,0.0,0.3669093722496501,1.6772764267701148,,,
0.25,0.0,0.6115282641867622,1.5490271292400855,0.0,,
0.292,0.0,0.5076317103449267,1.4183835469562998,0.0,,
0.333,0.0,0.3967823067881473,1.6269201671381963,0.0,,
0.375,0.0,0.38187860500062193,1.808689146490302,0.0,,
0.417,0.0,0.4235058933345332,1.8111247748247579,0.0,,
0.458,0.0,0.4315247833276646,1.9588849961446069,0.0,,
0.5,0.0,0.27143317240810383,2.4839235145538034,0.0,,
0.542,0.0,0.10960873264264763,2.23909615125082,0.0,,
0.583,0.0,0.0466486084871689,2.5338456079025997,0.0,,
0.625,0.0,0.03995092246440255,3.4731472965220904,0.0,,
0.667,,0.0,3.003394346442855,0.0,,0.316962809527359
0.708,,0.0,2.8992045864304146,1622.2391743156734,,0.15648322642529341
0.75,,0.0,3.1022648026921438,36.27747037716735,,0.11285830933670277
0.792,,0.0,3.7338834127556924,31.322052533801628,,0.07797060129903766
0.833,0.0,0.0,3.5944743379888613,38.60788381721587,,0.06311745956694981
0.875,0.0,0.0,0.0,23.712583712276626,,0.04429215890900388
0.917,0.0,0.0,0.0,15.54565671188955,,0.0
0.958,0.0,0.0,0.0,12.559051162623007,,0.0
1.0,0.0,0.0,0.0,10.511145295491009,,0.0
1.042,0.0,0.0,0.0,9.48884142575572,,0.0
1.083,0.0,0.0,0.0,9.13970368529617,,0.0
1.125,0.0,0.0,0.0,9.264625014165395,,0.0
1.167,0.0,0.0,0.0,9.542898089807759,,0.0
1.208,0.0,0.0,0.0,10.066789924339606,,0.0
1.25,0.0,0.0,0.0,10.712706768759697,,0.0
1.292,0.0,0.0,0.0,13.060323578938377,,0.0
1.333,0.0,0.0,0.0,19.786586757899155,,0.0
1.375,0.0,0.0,,32.09272292386178,,0.0
1.417,0.0,0.0,,27.861951779401092,,0.0
1.458,0.0,0.0,,0.0,,0.0
1.5,0.0,0.0,,0.0,,0.0
1.542,0.0,0.0,,0.0,,0.0
1.583,0.0,0.0,,0.0,,0.0
1.625,0.0,0.0,,0.0,,0.0
1.667,0.0,0.0,,0.0,,0.0
1.708,0.0,0.0,,0.0,,0.0
1.75,0.0,0.0,,0.0,,0.0
1.792,0.0,1.6698948947494792,,0.0,,0.0
1.833,0.0,2.421565884921741,,0.0,,0.0
1.875,,3.142593567311473,,21.397636926770105,,0.0
1.917,,0.20843828607213513,,144.66305160046966,,0.0
1.958,,0.0,,125.01375441042856,,0.0
2.0,,0.0,,99.05081654393979,,0.0
2.042,,0.0,,85.78195457248125,,0.0
2.083,,0.0,,80.23892236895993,,0.0
2.125,,0.0,,115.86149109855914,,0.0
2.167,,9.527060106886008,,151.65679921360493,,4.446798474624111
