t,2--1,3--1,4--1,5--1,6--1,7--1
0.125,inf,inf,inf,,,
0.167,inf,inf,inf,,,
0.208,inf,inf,inf,,,
0.25,inf,inf,inf,inf,,
0.292,inf,inf,inf,inf,,
0.333,inf,inf,inf,inf,,
0.375,inf,inf,inf,inf,,
0.417,inf,inf,inf,inf,,
0.458,inf,inf,inf,inf,,
0.5,inf,inf,inf,inf,,
0.542,inf,inf,inf,inf,,
0.583,inf,inf,inf,inf,,
0.625,inf,inf,3.212886321647128,inf,,
0.667,,inf,inf,inf,,inf
0.708,,inf,inf,1470.920872386498,,inf
0.75,,inf,inf,inf,,inf
0.792,,inf,inf,inf,,inf
0.833,inf,inf,inf,inf,,inf
0.875,inf,inf,inf,inf,,inf
0.917,inf,inf,inf,inf,,inf
0.958,inf,inf,inf,inf,,inf
1.0,inf,inf,inf,inf,,inf
1.042,inf,inf,inf,inf,,inf
1.083,inf,inf,inf,inf,,inf
1.125,inf,inf,inf,inf,,inf
1.167,inf,inf,inf,inf,,inf
1.208,inf,inf,inf,inf,,inf
1.25,inf,inf,inf,inf,,inf
1.292,inf,inf,inf,inf,,inf
1.333,inf,inf,inf,inf,,inf
1.375,inf,inf,,inf,,inf
1.417,inf,inf,,inf,,inf
1.458,inf,inf,,inf,,inf
1.5,inf,inf,,inf,,inf
1.542,inf,inf,,inf,,inf
1.583,inf,inf,,inf,,inf
1.625,inf,inf,,inf,,inf
1.667,inf,inf,,inf,,inf
1.708,inf,inf,,inf,,inf
1.75,inf,inf,,inf,,inf
1.792,inf,inf,,inf,,inf
1.833,inf,inf,,inf,,inf
1.875,,inf,,inf,,inf
1.917,,inf,,inf,,inf
1.958,,inf,,113.58218597316295,,inf
2.0,,inf,,inf,,inf
2.042,,inf,,inf,,inf
2.083,,inf,,inf,,inf
2.125,,inf,,inf,,inf
2.167,,inf,,inf,,inf
2.208,,inf,,inf,,inf
2.25,,26.305893700296537,,inf,,inf
2.292,,19.38850941683822,,inf,,inf
2.333,,inf,,inf,,inf
2.375,,inf,,inf,,inf
